title,text
Education Policy,The government announced a new education policy for digital learning.
Weather Update,The meteorological department predicted heavy rainfall this week.
Sports News,India won the cricket match after a strong batting performance.
Health Update,Doctors recommend regular exercise to maintain good health.
Technology News,A new smartphone was launched with improved battery performance.
Economic News,The central bank revised interest rates this quarter.
Medical Advice,Doctors advise drinking clean water daily.
Science Update,Researchers published a study on climate change impacts.
Transport News,The metro service will be expanded to new areas.
Employment News,The company announced new job openings this year.
